Date      ,Symbol,ListingMarket,OpeningCross,ClosingCross,IntradayCross,
01/02/2015,BSFT  ,             ,        1396,        6004,            0,
01/02/2015,BSPM  ,             ,         500,         970,            0,
01/02/2015,BSQR  ,             ,        2249,          16,            0,
01/02/2015,BSRR  ,             ,         152,         995,            0,
01/02/2015,BSTC  ,             ,         275,        1256,            0,
01/02/2015,BUSE  ,             ,        1854,       18575,            0,
01/02/2015,BV    ,             ,        8280,       29829,            0,
01/02/2015,BVA   ,             ,         100,           0,            0,
01/02/2015,BVSN  ,             ,          13,          73,            0,
01/02/2015,BWEN  ,             ,         500,        2866,            0,
01/02/2015,BWINB ,             ,         480,         560,            0,
01/02/2015,BWLD  ,             ,        2248,       10782,            0,
01/02/2015,BXMX  ,             ,         100,           0,            0,
01/02/2015,BYBK  ,             ,          38,           0,            0,
01/02/2015,CA    ,             ,       32754,      140615,            0,
01/02/2015,CAAS  ,             ,         307,         100,            0,
01/02/2015,CAC   ,             ,         163,         880,            0,
01/02/2015,CACB  ,             ,         591,        3762,            0,
01/02/2015,CACC  ,             ,         181,        2656,            0,
01/02/2015,CACH  ,             ,        5400,        5100,            0,
01/02/2015,CACQ  ,             ,        1011,       30932,            0,
01/02/2015,CADC  ,             ,           0,         100,            0,
01/02/2015,CAKE  ,             ,        3617,       11846,            0,
01/02/2015,CALA  ,             ,        2120,       15053,            0,
01/02/2015,CALD  ,             ,        8457,       20680,            0,
01/02/2015,CALL  ,             ,        2819,        2861,            0,
01/02/2015,CALM  ,             ,        4167,       23829,            0,
01/02/2015,CAMP  ,             ,        7153,       11094,            0,
01/02/2015,CAMT  ,             ,        1517,           0,            0,
01/02/2015,CAPN  ,             ,         100,           0,            0,
01/02/2015,CAR   ,             ,       16774,       29557,            0,
01/02/2015,CARA  ,             ,         316,       27010,            0,
01/02/2015,CARB  ,             ,         424,       13689,            0,
01/02/2015,CARZ  ,             ,          33,           0,            0,
01/02/2015,CASH  ,             ,        3731,         800,            0,
01/02/2015,CASI  ,             ,           0,          40,            0,
01/02/2015,CASS  ,             ,         180,        2070,            0,
01/02/2015,CASY  ,             ,        8527,        8881,            0,
01/02/2015,CATM  ,             ,        5642,       12544,            0,
01/02/2015,CATY  ,             ,        2445,       13043,            0,
01/02/2015,CAVM  ,             ,        4021,       19985,            0,
01/02/2015,CBAK  ,             ,        2985,        1400,            0,
01/02/2015,CBAY  ,             ,         200,        5600,            0,
01/02/2015,CBF   ,             ,         457,        3909,            0,
01/02/2015,CBIN  ,             ,         254,           0,            0,
01/02/2015,CBLI  ,             ,         150,           0,            0,
01/02/2015,CBMG  ,             ,         100,         500,            0,
01/02/2015,CBMX  ,             ,           4,         200,            0,
01/02/2015,CBNJ  ,             ,         301,         416,            0,
01/02/2015,CBOE  ,             ,        3333,       77088,            0,
01/02/2015,CBPO  ,             ,         372,          65,            0,
01/02/2015,CBPX  ,             ,           0,         100,            0,
01/02/2015,CBRL  ,             ,        2482,        7771,            0,
01/02/2015,CBRX  ,             ,           0,        1100,            0,
01/02/2015,CBSH  ,             ,        1839,       24480,            0,
01/02/2015,CBSHP ,             ,         100,           0,            0,
01/02/2015,CBST  ,             ,       13585,       31867,            0,
01/02/2015,CBSTZ ,             ,       42500,           0,            0,
01/02/2015,CCBG  ,             ,         233,        1759,            0,
01/02/2015,CCCL  ,             ,           0,        4150,            0,
01/02/2015,CCIH  ,             ,        1890,        1613,            0,
01/02/2015,CCL   ,             ,         300,           0,            0,
01/02/2015,CCLP  ,             ,        1370,       13025,            0,
01/02/2015,CCMP  ,             ,        1310,        6612,            0,
01/02/2015,CCNE  ,             ,         196,        2123,            0,
01/02/2015,CCOI  ,             ,        9425,       24971,            0,
01/02/2015,CCRN  ,             ,        1674,       33179,            0,
01/02/2015,CCUR  ,             ,         734,        1100,            0,
01/02/2015,CCV   ,             ,         100,           0,            0,
01/02/2015,CCXI  ,             ,        2470,       11886,            0,
01/02/2015,CDC   ,             ,         918,           0,            0,
01/02/2015,CDI   ,             ,         200,           0,            0,
01/02/2015,CDK   ,             ,       49307,       30242,            0,
01/02/2015,CDNS  ,             ,       32678,      259106,            0,
01/02/2015,CDTI  ,             ,        4568,       10200,            0,
01/02/2015,CDW   ,             ,       27729,       22904,            0,
01/02/2015,CDXS  ,             ,         300,        2900,            0,
01/02/2015,CDZI  ,             ,         550,        3500,            0,
01/02/2015,CECE  ,             ,        1087,        1803,            0,
01/02/2015,CECO  ,             ,        3874,       32930,            0,
01/02/2015,CEF   ,             ,         400,           0,            0,
01/02/2015,CELG  ,             ,       48125,      333435,            0,
01/02/2015,CELGZ ,             ,          50,           0,            0,
01/02/2015,CEMP  ,             ,        9054,       36814,            0,
01/02/2015,CENT  ,             ,        1000,         637,            0,
01/02/2015,CENTA ,             ,        1329,       11424,            0,
01/02/2015,CENX  ,             ,        6132,       21501,            0,
01/02/2015,CERE  ,             ,        5000,         200,            0,
01/02/2015,CERN  ,             ,       11824,      112117,            0,
01/02/2015,CERS  ,             ,        8597,       57004,            0,
01/02/2015,CERU  ,             ,         150,         100,            0,
01/02/2015,CETV  ,             ,        4288,       12945,            0,
01/02/2015,CEVA  ,             ,         526,        3357,            0,
01/02/2015,CFBK  ,             ,         400,           0,            0,
01/02/2015,CFFI  ,             ,         494,         420,            0,
01/02/2015,CFFN  ,             ,        3114,       53263,            0,
01/02/2015,CFGE  ,             ,        1200,           0,            0,
01/02/2015,CFNB  ,             ,           0,         100,            0,
01/02/2015,CFNL  ,             ,        7571,        6149,            0,
01/02/2015,CFRX  ,             ,         100,           0,            0,
01/02/2015,CG    ,             ,        1547,       30424,            0,
01/02/2015,CGEN  ,             ,         930,        6075,            0,
01/02/2015,CGIX  ,             ,          17,         300,            0,
01/02/2015,CGNX  ,             ,        2588,       19921,            0,
01/02/2015,CGO   ,             ,        5262,          50,            0,
01/02/2015,CHCO  ,             ,         564,        4215,            0,
01/02/2015,CHDN  ,             ,         533,        2270,            0,
01/02/2015,CHEF  ,             ,         389,        4594,            0,
01/02/2015,CHFC  ,             ,        1086,        6195,            0,
01/02/2015,CHFN  ,             ,         314,        2690,            0,
01/02/2015,CHI   ,             ,       19032,           0,            0,
01/02/2015,CHK   ,             ,         200,           0,            0,
01/02/2015,CHKE  ,             ,         160,        1261,            0,
01/02/2015,CHKP  ,             ,        9902,       20602,            0,
01/02/2015,CHLN  ,             ,          85,           0,            0,
01/02/2015,CHMG  ,             ,          98,           0,            0,
01/02/2015,CHNR  ,             ,         300,         500,            0,
01/02/2015,CHOP  ,             ,         720,           0,            0,
01/02/2015,CHRS  ,             ,         875,        1951,            0,
01/02/2015,CHRW  ,             ,      101251,       77725,            0,
01/02/2015,CHSCM ,             ,           3,           0,            0,
01/02/2015,CHSCN ,             ,         106,           0,            0,
01/02/2015,CHSCO ,             ,         500,           0,            0,
01/02/2015,CHSCP ,             ,         200,           0,            0,
